Column1,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
47,291.26,268.20,265.39,255.67,258.86,237.83,242.05,244.95,240.91,230.55,231.23,219.03,216.89,217.45,211.25,205.38,220.64,203.06,205.95,210.12,201.59,200.28,211.59,199.48,184.38,184.86,185.21,177.69,167.66,167.91,155.03,164.26,163.13,159.63,160.77,170.39,165.13,175.03,168.43,181.30,166.60,164.34,160.06,159.02,157.98,157.02,155.97,154.91,153.79,152.63,151.42,150.21,148.97,147.66,146.33,145.02,143.69,142.23,140.82,139.31,137.60,135.90,134.21,132.74,131.23,129.53,127.95,126.36,124.86,123.34,121.76,120.27,118.84,117.47,115.99,114.56,113.19,111.79,110.39,109.06,107.76,106.52,105.22,103.91,102.63,101.37,100.10,98.77,97.66,96.54,95.33,94.20,93.06,92.04,90.99,89.89,88.81,87.65,86.54,85.50,84.58,83.60,82.46,81.35,80.43,79.44,78.43,77.61,76.71,75.66,74.72,73.81,72.93,72.04,71.24,70.46,69.51,68.64,67.85,67.00,66.19,65.48,64.71,63.81,62.98,62.22,61.54,60.93,60.13,59.34,58.63,57.82,57.10,56.56,55.93,55.16,54.52,53.87,53.17,52.54
48,313.88,296.89,294.43,276.40,287.70,263.92,272.98,275.32,270.72,261.12,253.11,236.27,227.98,229.35,230.84,221.15,232.34,220.53,229.29,213.95,217.28,232.57,222.89,207.97,224.34,217.66,205.13,197.04,186.10,184.16,179.77,171.52,169.09,173.12,183.29,173.66,176.34,195.50,181.21,214.02,181.05,178.62,174.02,172.70,171.26,170.11,169.05,167.82,166.45,165.12,163.71,162.26,160.73,159.25,157.81,156.36,154.85,153.23,151.69,150.13,148.31,146.52,144.75,142.97,141.27,139.51,137.70,136.14,134.64,132.95,131.27,129.59,128.04,126.57,125.01,123.54,122.14,120.54,118.92,117.52,116.20,114.79,113.36,111.98,110.63,109.28,107.89,106.50,105.28,104.08,102.75,101.53,100.34,99.21,98.09,96.80,95.66,94.58,93.37,92.20,91.09,90.03,88.86,87.63,86.68,85.59,84.50,83.57,82.54,81.49,80.60,79.65,78.61,77.68,76.86,75.96,74.91,73.98,73.20,72.38,71.44,70.60,69.73,68.80,67.99,67.25,66.38,65.52,64.78,63.99,63.21,62.50,61.69,60.90,60.22,59.40,58.68,58.03,57.32,56.63
49,355.78,351.86,334.06,326.69,313.48,313.50,287.73,284.12,288.21,275.09,273.19,253.60,250.45,257.02,264.53,242.57,238.37,255.94,249.75,245.89,243.91,241.81,235.21,217.76,239.94,219.33,215.60,211.05,203.71,206.92,198.02,199.02,197.66,181.93,192.05,188.52,194.66,197.79,189.56,228.74,196.86,194.30,189.09,187.62,185.95,184.42,183.14,181.70,180.09,178.53,176.93,175.21,173.52,171.84,170.17,168.59,166.91,165.09,163.35,161.62,159.79,157.94,156.03,154.03,152.10,150.23,148.44,146.84,145.13,143.39,141.57,139.66,137.87,136.24,134.62,133.08,131.56,129.92,128.24,126.76,125.30,123.69,122.12,120.61,119.19,117.67,116.18,114.84,113.52,112.12,110.72,109.42,108.08,106.88,105.71,104.29,103.02,101.83,100.58,99.37,98.08,96.90,95.71,94.46,93.46,92.40,91.27,90.08,88.92,87.92,86.96,85.93,84.78,83.74,82.82,81.83,80.77,79.74,78.90,77.98,76.89,76.04,75.11,74.21,73.37,72.53,71.49,70.51,69.85,69.07,68.22,67.38,66.48,65.53,64.81,64.12,63.41,62.57,61.78,61.04
50,402.30,390.14,370.69,346.86,345.39,341.40,329.16,313.15,320.65,316.44,297.19,295.79,307.87,291.70,295.83,288.83,274.38,273.46,292.09,269.07,284.52,255.26,268.06,261.35,260.50,260.58,248.44,259.20,239.79,219.47,220.16,213.00,216.58,218.25,214.77,210.09,219.10,211.62,220.53,237.40,213.91,211.26,205.38,203.65,201.87,200.04,198.30,196.52,194.78,193.01,191.08,189.22,187.41,185.53,183.58,181.77,179.90,177.86,175.90,173.92,172.05,170.18,168.09,165.95,163.85,161.82,159.95,158.15,156.22,154.32,152.50,150.57,148.61,146.70,144.92,143.25,141.49,139.81,138.20,136.59,134.97,133.25,131.62,129.99,128.35,126.68,125.20,123.75,122.20,120.73,119.27,117.85,116.45,115.11,113.73,112.26,110.92,109.61,108.25,107.01,105.62,104.27,103.09,101.83,100.62,99.53,98.43,97.13,95.89,94.76,93.54,92.43,91.37,90.27,89.11,88.07,87.10,85.99,84.93,83.88,82.81,81.87,81.00,80.05,78.93,78.00,77.06,76.10,75.21,74.31,73.47,72.44,71.47,70.64,69.88,69.09,68.33,67.43,66.51,65.71
51,426.45,401.44,381.29,393.27,365.32,368.37,362.58,357.67,356.32,343.73,346.13,314.71,322.85,307.31,334.73,326.12,304.92,309.53,288.19,282.42,294.37,279.55,286.98,283.83,270.46,261.56,265.32,278.15,222.16,251.20,247.75,241.62,229.75,232.32,230.42,242.33,233.63,233.70,239.83,262.80,232.12,229.40,223.02,220.92,218.85,216.66,214.56,212.48,210.41,208.37,206.20,204.17,202.15,200.04,197.86,195.63,193.51,191.44,189.38,187.23,185.17,183.10,180.92,178.71,176.52,174.36,172.13,169.97,167.93,165.92,164.00,162.06,160.02,158.00,156.09,154.21,152.30,150.42,148.67,146.91,145.22,143.47,141.63,139.92,138.24,136.53,134.84,133.18,131.50,129.90,128.35,126.79,125.23,123.74,122.27,120.83,119.37,117.93,116.57,115.17,113.63,112.18,111.02,109.71,108.32,107.03,105.78,104.46,103.12,101.83,100.53,99.33,98.20,97.12,95.93,94.71,93.67,92.59,91.33,90.18,89.16,88.07,87.04,86.02,84.86,83.90,83.00,81.90,80.78,79.84,79.02,78.00,76.92,76.02,75.18,74.29,73.43,72.48,71.56,70.70
52,460.73,472.91,465.79,437.91,441.88,412.99,420.92,377.03,384.40,378.55,372.36,371.31,374.44,348.98,354.05,338.62,349.16,324.49,323.29,335.45,317.11,304.44,317.54,280.53,309.72,306.07,270.62,280.38,280.18,288.22,265.73,260.90,253.15,253.23,252.01,257.10,265.28,253.10,249.26,271.95,251.92,248.91,241.95,239.53,237.13,234.58,232.15,229.78,227.30,224.96,222.64,220.25,217.90,215.61,213.25,210.76,208.42,206.15,203.82,201.56,199.37,197.03,194.74,192.58,190.22,187.82,185.39,182.95,180.79,178.68,176.48,174.32,172.21,170.20,168.12,166.06,164.01,161.96,160.01,158.07,156.32,154.43,152.42,150.52,148.74,147.02,145.13,143.34,141.63,139.84,138.15,136.47,134.69,133.07,131.61,130.14,128.51,126.88,125.40,123.94,122.36,120.83,119.52,118.04,116.60,115.20,113.71,112.30,110.88,109.55,108.34,106.99,105.62,104.45,103.29,101.97,100.74,99.59,98.29,96.99,95.86,94.76,93.57,92.41,91.36,90.43,89.32,88.02,86.94,85.97,85.05,83.99,82.86,81.78,80.76,79.93,79.04,78.04,76.95,76.02
53,537.13,511.50,525.42,473.06,457.25,459.26,457.16,445.04,410.88,406.67,393.24,393.14,395.65,402.60,387.33,377.33,368.66,353.37,326.22,351.23,320.04,342.38,337.44,329.58,316.77,319.58,323.40,303.23,310.70,296.58,294.67,287.46,279.14,266.83,292.42,276.05,274.88,277.05,258.05,294.99,273.82,270.53,262.85,260.02,257.29,254.46,251.63,248.87,246.18,243.45,240.80,238.09,235.43,232.96,230.40,227.79,225.22,222.64,220.04,217.56,215.15,212.71,210.22,207.88,205.42,202.75,200.21,197.70,195.29,193.00,190.72,188.41,186.03,183.78,181.49,179.17,177.01,174.99,172.84,170.66,168.79,166.71,164.61,162.60,160.56,158.61,156.70,154.74,152.77,150.89,149.12,147.42,145.57,143.79,142.12,140.40,138.73,137.03,135.30,133.72,132.09,130.46,128.89,127.39,126.04,124.47,122.81,121.30,119.79,118.32,116.99,115.60,114.14,112.79,111.46,110.08,108.74,107.50,106.12,104.71,103.50,102.28,101.03,99.77,98.65,97.59,96.26,94.95,93.93,92.82,91.69,90.61,89.44,88.32,87.31,86.36,85.27,84.18,83.05,82.05
54,600.34,575.58,546.29,554.85,531.89,483.93,505.87,472.15,467.39,440.63,434.76,429.50,426.30,422.53,416.76,399.51,405.26,408.11,392.01,386.94,390.10,369.98,356.03,346.19,356.37,340.98,355.66,362.23,344.32,341.37,322.55,299.48,303.77,289.91,304.04,304.43,296.64,285.75,292.96,311.58,298.16,294.57,286.18,283.02,279.89,276.76,273.62,270.45,267.40,264.42,261.45,258.47,255.51,252.63,249.84,247.13,244.32,241.50,238.66,235.88,233.23,230.60,227.90,225.29,222.76,220.05,217.33,214.57,211.83,209.40,206.98,204.44,201.80,199.29,196.91,194.38,192.06,189.93,187.50,185.13,183.04,180.86,178.61,176.44,174.34,172.16,170.00,167.92,165.85,163.79,161.77,159.89,157.98,156.13,154.25,152.19,150.31,148.64,146.94,145.10,143.29,141.63,139.90,138.21,136.66,135.00,133.30,131.62,129.96,128.35,126.88,125.43,123.85,122.38,120.86,119.37,118.01,116.59,115.10,113.72,112.40,111.03,109.67,108.28,106.95,105.69,104.37,103.09,101.95,100.73,99.40,98.24,97.05,95.84,94.80,93.62,92.34,91.25,90.23,89.14
55,660.47,637.83,629.10,585.24,594.60,570.14,531.36,540.81,551.47,491.60,509.62,461.15,467.31,451.11,477.65,455.96,429.85,449.43,433.58,428.13,404.18,404.83,410.90,371.77,382.65,370.18,384.30,368.33,362.27,348.78,338.15,343.69,346.03,332.22,330.27,341.21,315.57,323.98,319.44,342.64,325.21,321.06,311.94,308.58,305.18,301.79,298.41,295.04,291.60,288.31,285.08,281.84,278.60,275.34,272.20,269.23,266.19,263.14,260.00,256.94,254.13,251.13,248.14,245.36,242.61,239.83,237.10,234.21,231.16,228.31,225.52,222.75,219.95,217.19,214.69,212.12,209.49,206.97,204.42,201.88,199.49,197.09,194.68,192.34,190.09,187.77,185.32,183.07,180.90,178.67,176.42,174.22,172.14,170.12,168.06,165.95,163.93,161.98,160.06,158.16,156.29,154.45,152.62,150.72,148.86,147.01,145.22,143.51,141.70,139.94,138.41,136.69,134.98,133.45,131.79,130.14,128.65,127.14,125.51,124.01,122.46,120.98,119.58,118.02,116.50,115.16,113.83,112.45,111.11,109.77,108.40,107.12,105.87,104.52,103.27,102.00,100.69,99.55,98.39,97.21
56,693.24,690.27,679.59,676.85,663.50,630.65,632.56,590.02,592.99,568.47,554.23,514.54,510.09,495.26,511.54,481.41,476.01,461.11,465.19,459.14,446.15,441.95,443.63,426.47,422.25,428.57,414.00,398.13,398.25,393.28,376.85,371.52,374.44,357.31,356.24,373.37,353.24,360.22,349.92,381.39,355.41,350.70,340.55,337.08,333.58,329.95,326.31,322.74,319.12,315.44,311.96,308.60,305.05,301.49,298.04,294.71,291.41,288.10,284.74,281.45,278.26,275.01,271.80,268.66,265.58,262.52,259.56,256.62,253.49,250.18,246.98,244.05,241.10,238.07,235.23,232.48,229.69,226.88,223.96,221.18,218.61,215.90,213.25,210.74,208.29,205.77,203.20,200.67,198.20,195.85,193.41,190.98,188.68,186.38,184.18,181.96,179.84,177.67,175.34,173.28,171.32,169.22,167.16,165.12,163.12,161.09,159.12,157.33,155.37,153.47,151.68,149.78,147.98,146.18,144.44,142.70,140.92,139.26,137.64,135.91,134.16,132.50,130.92,129.31,127.68,126.16,124.70,123.19,121.63,120.17,118.77,117.33,115.97,114.57,113.13,111.72,110.40,109.17,107.78,106.48
57,785.50,769.39,734.12,742.29,716.03,661.89,670.53,674.49,659.69,664.46,582.95,610.15,588.84,560.15,542.53,563.78,555.83,529.61,519.47,521.95,507.66,497.49,441.16,470.26,480.21,436.14,446.58,431.18,424.06,436.55,421.37,391.61,413.09,402.85,385.93,406.31,366.74,394.70,382.39,401.75,389.66,384.27,373.03,369.29,365.75,362.03,358.13,354.24,350.48,346.56,342.64,339.06,335.30,331.41,327.67,324.05,320.45,316.84,313.26,309.73,306.11,302.52,299.08,295.53,292.16,288.78,285.35,282.20,278.99,275.46,271.87,268.52,265.29,262.09,258.92,255.85,252.91,249.94,246.67,243.52,240.65,237.74,234.82,231.92,229.20,226.44,223.74,221.04,218.22,215.59,212.94,210.34,207.79,205.20,202.73,200.33,197.95,195.57,193.14,190.81,188.49,186.21,184.01,181.75,179.61,177.40,175.20,173.18,171.01,168.97,166.92,164.91,162.95,160.88,158.98,157.02,155.00,153.14,151.40,149.61,147.73,145.84,144.13,142.45,140.59,138.89,137.26,135.56,133.95,132.34,130.76,129.25,127.69,126.14,124.65,123.00,121.49,120.19,118.72,117.30
58,818.41,828.10,829.92,819.21,823.21,791.34,771.40,737.72,693.24,700.90,649.83,666.34,661.06,568.03,619.34,613.34,592.20,585.85,566.86,551.55,536.76,515.82,528.97,490.84,497.63,473.49,473.14,467.33,464.02,471.88,420.43,456.16,436.37,421.74,412.38,438.78,418.06,441.16,409.51,458.57,428.07,421.82,409.49,405.41,401.54,397.69,393.71,389.61,385.53,381.44,377.10,372.98,369.04,364.87,360.78,356.78,352.74,348.84,344.96,341.11,337.17,333.15,329.26,325.39,321.70,317.98,314.24,310.65,307.06,303.45,299.71,295.88,292.22,288.75,285.30,281.83,278.51,275.27,271.92,268.52,265.18,261.99,258.81,255.58,252.44,249.37,246.40,243.44,240.42,237.45,234.58,231.80,229.01,226.12,223.31,220.74,218.13,215.40,212.73,210.12,207.54,205.15,202.74,200.32,198.04,195.50,193.00,190.83,188.44,186.08,183.97,181.77,179.53,177.31,175.20,173.07,170.88,168.81,166.74,164.81,162.90,160.79,158.89,157.01,155.00,153.12,151.36,149.50,147.64,145.92,144.21,142.47,140.78,138.98,137.30,135.68,134.00,132.40,130.81,129.24
59,905.30,914.91,899.89,904.56,898.77,877.84,842.03,830.20,820.90,789.19,764.50,719.26,742.88,688.23,656.92,674.54,652.14,647.94,645.66,608.14,603.87,572.63,600.50,553.93,523.98,550.58,511.25,541.71,520.95,492.15,505.85,509.59,463.61,458.49,483.70,493.65,453.23,474.84,456.38,479.81,469.58,462.38,448.95,444.67,440.35,436.16,432.10,427.82,423.41,419.04,414.53,409.92,405.46,401.02,396.66,392.20,387.77,383.53,379.19,375.01,370.77,366.37,361.94,357.73,353.64,349.46,345.43,341.45,337.47,333.64,329.80,325.72,321.60,317.65,313.82,310.01,306.25,302.57,298.88,295.29,291.77,288.11,284.44,281.09,277.75,274.28,270.93,267.70,264.51,261.26,258.03,254.92,251.86,248.76,245.71,242.79,239.89,236.90,233.91,231.09,228.43,225.68,222.90,220.35,217.78,214.98,212.35,210.01,207.36,204.73,202.37,199.93,197.52,195.17,192.74,190.34,188.03,185.72,183.49,181.37,179.24,176.96,174.82,172.78,170.61,168.51,166.56,164.50,162.41,160.51,158.63,156.70,154.80,152.88,150.97,149.22,147.53,145.71,143.82,142.10
60,1021.38,1029.92,1008.16,979.11,1002.00,964.73,951.53,903.07,923.19,876.87,869.92,830.52,827.00,755.61,751.41,733.08,748.03,705.74,723.04,691.85,663.05,670.78,650.45,625.61,573.88,559.43,572.07,580.24,553.72,553.38,546.78,530.90,509.84,526.79,532.19,517.21,499.54,516.08,501.43,555.31,513.99,505.82,491.41,486.97,482.43,477.82,473.36,468.93,464.29,459.52,454.80,450.03,445.15,440.25,435.47,430.63,425.82,421.18,416.32,411.59,407.02,402.40,397.58,392.74,388.18,383.64,379.11,374.75,370.53,366.37,362.18,357.83,353.37,348.94,344.64,340.51,336.45,332.35,328.28,324.39,320.58,316.53,312.42,308.68,305.06,301.33,297.60,294.06,290.59,287.06,283.55,280.03,276.59,273.28,269.98,266.70,263.42,260.19,257.04,253.98,250.99,247.87,244.82,242.02,239.15,236.17,233.35,230.64,227.71,224.95,222.33,219.53,216.94,214.44,211.73,208.97,206.52,204.08,201.64,199.23,196.83,194.37,192.08,189.83,187.41,185.19,183.00,180.74,178.50,176.37,174.31,172.22,170.01,168.02,166.00,163.98,162.11,160.16,158.20,156.30
61,1099.74,1116.61,1062.89,1057.76,1090.01,1032.90,1069.15,1034.26,993.58,983.10,986.59,911.91,917.93,861.35,828.23,805.25,827.72,764.43,779.71,742.82,749.96,714.33,714.15,656.90,667.54,651.63,645.79,642.47,605.69,605.39,579.88,588.05,582.33,569.11,563.57,562.38,558.30,555.87,534.97,599.71,561.68,553.04,537.81,533.10,528.33,523.44,518.47,513.53,508.68,503.64,498.51,493.44,488.30,483.00,477.66,472.46,467.18,461.96,456.67,451.34,446.21,441.28,436.26,430.86,425.64,420.78,415.80,410.86,406.20,401.67,397.05,392.26,387.69,383.04,378.20,373.52,369.02,364.58,360.22,355.89,351.65,347.40,343.07,338.80,334.65,330.65,326.61,322.63,318.77,314.92,311.14,307.40,303.59,299.83,296.21,292.66,289.05,285.48,282.05,278.64,275.37,272.07,268.69,265.46,262.27,259.13,256.06,252.91,249.80,246.83,243.91,240.92,238.05,235.25,232.40,229.51,226.72,224.08,221.39,218.63,216.02,213.39,210.77,208.17,205.56,203.24,200.85,198.33,195.88,193.59,191.30,188.85,186.61,184.43,182.17,179.99,177.80,175.69,173.67,171.59
62,1168.14,1213.70,1177.32,1174.99,1227.65,1165.95,1150.84,1180.18,1099.12,1075.09,1023.35,1012.29,1012.76,947.49,908.74,907.07,904.15,874.51,847.60,807.06,788.19,794.06,764.11,735.45,721.96,717.89,677.74,666.24,654.24,638.15,623.57,641.99,626.68,613.12,619.96,653.99,610.99,624.05,640.05,670.55,612.61,604.07,588.15,582.92,577.79,572.68,567.31,561.71,556.34,551.00,545.47,539.93,534.34,528.68,522.73,516.86,511.19,505.48,499.66,493.86,488.24,482.70,477.17,471.57,465.86,460.31,454.95,449.58,444.32,439.24,434.18,429.03,424.11,419.22,414.07,408.87,403.82,398.94,394.18,389.38,384.69,380.17,375.68,370.96,366.25,361.84,357.45,353.06,348.81,344.65,340.53,336.48,332.38,328.16,324.14,320.28,316.37,312.53,308.62,304.85,301.32,297.74,294.06,290.49,286.96,283.55,280.21,276.73,273.37,270.12,266.93,263.71,260.48,257.47,254.40,251.26,248.18,245.18,242.22,239.26,236.42,233.55,230.67,227.84,225.10,222.43,219.72,217.04,214.44,211.85,209.28,206.70,204.28,201.77,199.33,196.98,194.58,192.29,189.94,187.66
63,1286.67,1297.41,1310.46,1278.78,1305.41,1279.32,1258.52,1266.19,1250.23,1212.59,1134.72,1112.40,1144.65,1057.61,1034.63,963.03,941.93,923.40,924.21,868.92,889.36,847.94,819.45,813.39,785.66,791.33,800.55,754.25,724.34,699.69,687.81,673.20,685.40,663.36,686.80,685.96,686.67,676.68,649.27,714.48,667.20,658.75,642.20,636.48,630.89,625.28,619.51,613.57,607.49,601.57,595.76,589.72,583.55,577.31,570.98,564.54,558.13,551.89,545.57,539.22,533.14,526.96,520.71,514.72,508.71,502.62,496.68,490.85,485.08,479.42,473.84,468.41,462.94,457.54,452.32,446.85,441.21,435.67,430.30,425.21,420.21,415.10,410.14,405.17,400.13,395.12,390.24,385.53,380.83,376.22,371.84,367.44,362.99,358.51,354.02,349.69,345.49,341.39,337.10,332.91,329.03,325.05,321.07,317.22,313.34,309.63,305.95,302.21,298.58,295.07,291.60,288.00,284.43,281.08,277.68,274.33,271.03,267.63,264.40,261.24,258.13,255.01,251.88,248.81,245.87,242.92,239.89,237.04,234.24,231.31,228.54,225.85,223.12,220.37,217.72,215.07,212.57,210.03,207.38,204.89
64,1421.79,1439.47,1406.22,1390.48,1430.11,1380.89,1378.21,1354.69,1375.68,1374.38,1274.07,1246.44,1205.97,1170.56,1144.49,1130.73,1056.54,1061.28,1025.84,1015.49,941.32,952.91,946.52,896.11,890.40,869.68,844.52,838.86,800.22,760.26,756.98,731.69,725.10,745.22,716.68,740.97,734.62,728.77,715.40,766.74,726.41,717.84,700.74,694.63,688.39,682.18,675.95,669.62,663.00,656.38,649.98,643.46,636.76,629.94,623.23,616.37,609.22,602.14,595.25,588.54,581.74,574.82,567.98,561.27,554.79,548.41,541.88,535.36,529.10,522.89,516.70,510.82,504.96,499.05,493.43,487.71,481.67,475.54,469.57,463.94,458.51,452.92,447.34,442.13,436.90,431.45,425.98,420.77,415.65,410.46,405.61,400.92,396.10,391.28,386.50,381.68,376.99,372.52,367.95,363.49,359.09,354.67,350.44,346.21,341.92,337.76,333.75,329.79,325.89,321.97,318.14,314.33,310.45,306.70,302.97,299.37,295.74,292.01,288.61,285.14,281.59,278.25,274.91,271.56,268.29,265.11,261.89,258.67,255.55,252.46,249.43,246.47,243.50,240.50,237.55,234.57,231.79,229.08,226.33,223.62
65,1553.47,1551.55,1538.32,1475.80,1566.43,1509.77,1521.71,1501.56,1506.68,1458.46,1442.87,1429.99,1404.32,1313.46,1327.86,1245.02,1226.85,1148.27,1144.39,1088.20,1064.40,1014.22,1053.09,965.09,990.23,926.42,911.39,910.84,864.93,840.60,802.46,810.22,810.14,786.24,791.89,787.23,779.99,827.73,788.26,817.03,791.51,782.42,764.45,757.98,751.16,744.35,737.44,730.49,723.47,716.24,708.99,701.83,694.71,687.40,680.00,672.57,664.99,657.20,649.47,642.16,634.77,627.13,619.57,612.24,605.09,598.12,591.07,583.92,576.97,570.23,563.51,556.97,550.55,544.13,537.87,531.72,525.56,519.14,512.60,506.17,499.98,494.02,488.06,482.23,476.49,470.78,464.91,459.10,453.58,448.04,442.54,437.22,432.06,426.96,421.87,416.58,411.35,406.36,401.48,396.66,391.74,386.98,382.39,377.78,373.21,368.58,364.14,359.84,355.46,351.22,347.08,342.85,338.70,334.71,330.67,326.62,322.68,318.70,314.86,311.06,307.22,303.57,299.93,296.28,292.70,289.16,285.74,282.29,278.82,275.48,272.15,268.91,265.71,262.39,259.24,256.09,252.98,250.06,247.10,244.13
66,1693.69,1706.36,1699.21,1662.79,1648.26,1688.70,1624.69,1639.55,1619.38,1561.22,1557.49,1505.38,1543.75,1472.99,1448.27,1349.86,1382.43,1300.59,1255.88,1223.89,1142.29,1164.79,1111.90,1094.47,1115.38,1033.16,1016.06,972.54,968.01,934.33,913.94,885.65,869.67,829.12,875.23,912.87,870.73,867.63,829.65,932.66,863.52,853.47,833.98,827.18,820.14,812.74,805.02,797.39,789.89,782.17,774.16,766.12,758.35,750.63,742.59,734.38,726.22,717.90,709.42,701.07,692.95,684.78,676.52,668.43,660.54,652.80,645.23,637.66,629.93,622.36,615.05,607.87,600.74,593.83,587.08,580.28,573.61,566.95,560.03,552.88,545.83,539.18,532.86,526.55,520.13,513.83,507.73,501.48,495.30,489.34,483.32,477.37,471.63,466.10,460.63,454.89,449.27,443.76,438.33,433.05,427.82,422.66,417.55,412.55,407.65,402.62,397.63,392.89,388.17,383.55,379.01,374.46,370.02,365.59,361.06,356.65,352.34,348.00,343.72,339.63,335.61,331.57,327.55,323.59,319.69,315.85,312.02,308.28,304.53,300.79,297.17,293.60,290.15,286.64,283.16,279.75,276.34,273.05,269.82,266.58
67,1863.39,1904.72,1871.00,1832.90,1845.20,1791.37,1802.16,1759.25,1813.87,1775.63,1726.96,1661.24,1685.18,1609.05,1541.18,1555.16,1493.47,1479.50,1423.27,1336.20,1281.61,1269.25,1262.55,1187.46,1187.02,1152.47,1128.37,1101.38,1021.37,1004.51,1011.90,1016.91,974.01,922.29,961.81,958.29,956.44,935.25,916.19,1009.82,943.48,932.04,911.15,904.15,896.72,888.89,880.52,872.17,863.87,855.42,846.84,838.09,829.40,820.87,812.26,803.33,794.31,785.40,776.30,767.03,757.88,749.03,740.20,731.09,722.30,713.66,705.25,697.18,688.97,680.65,672.48,664.60,656.82,649.31,641.89,634.38,626.98,619.80,612.64,605.09,597.33,589.91,582.87,575.98,569.06,562.08,555.45,548.83,541.99,535.22,528.68,522.27,515.90,509.70,503.79,497.79,491.59,485.62,479.58,473.67,468.08,462.50,456.83,451.23,445.92,440.49,435.00,429.78,424.58,419.44,414.52,409.68,404.83,399.93,394.97,390.21,385.56,380.80,376.10,371.59,367.11,362.74,358.48,354.14,349.83,345.58,341.41,337.27,333.13,329.13,325.17,321.20,317.44,313.61,309.68,305.92,302.25,298.60,295.06,291.52
68,2022.42,2074.81,2021.48,1968.63,2026.29,1970.61,1870.53,1978.62,1954.74,1871.80,1891.85,1880.67,1835.94,1795.58,1772.53,1765.88,1661.64,1592.46,1535.59,1498.28,1431.40,1398.48,1373.56,1361.82,1275.12,1291.91,1207.06,1217.16,1161.49,1123.73,1095.02,1068.53,1074.90,1052.19,1083.58,1029.02,1025.22,1052.89,1014.42,1107.94,1033.19,1019.81,997.15,990.30,982.58,974.25,965.45,956.41,947.15,937.82,928.48,918.99,909.48,899.72,890.15,880.81,871.06,861.18,851.38,841.42,831.24,821.21,811.53,801.78,791.97,782.31,772.88,763.89,755.17,746.29,737.24,728.46,719.94,711.54,703.28,695.11,687.06,679.14,671.33,663.51,655.41,647.31,639.21,631.42,623.94,616.36,608.94,601.73,594.46,587.00,579.68,572.71,565.86,559.01,552.34,545.85,539.21,532.61,526.12,519.61,513.35,507.27,501.07,494.82,488.76,482.98,477.21,471.41,465.66,459.92,454.36,449.06,443.72,438.39,433.22,427.97,422.80,417.71,412.55,407.63,402.74,397.80,393.00,388.31,383.62,378.94,374.38,369.73,365.26,361.00,356.67,352.30,348.09,343.91,339.62,335.51,331.48,327.51,323.56,319.69
69,2246.58,2206.10,2204.45,2198.81,2231.61,2241.00,2149.08,2125.35,2167.64,2095.97,2075.15,2016.61,2044.58,1946.70,1942.29,1948.53,1834.67,1840.64,1748.01,1685.36,1591.61,1546.01,1551.06,1462.98,1422.69,1331.12,1399.00,1340.29,1257.79,1275.52,1200.65,1198.89,1172.88,1154.03,1134.62,1174.10,1155.73,1114.62,1107.49,1211.20,1134.96,1119.33,1094.33,1087.46,1079.66,1070.99,1061.79,1052.04,1041.85,1031.57,1021.24,1010.93,1000.64,989.86,979.00,968.67,958.28,947.42,936.50,925.69,914.72,903.56,892.64,882.00,871.35,860.69,850.25,840.13,830.25,820.60,810.97,801.24,791.74,782.39,773.24,764.32,755.50,746.72,737.96,729.51,721.09,712.35,703.39,694.65,686.27,678.00,669.80,661.74,653.89,646.05,638.09,630.23,622.58,615.04,607.56,600.30,593.22,585.99,578.86,571.87,564.89,558.04,551.30,544.58,537.81,531.33,525.09,518.72,512.47,506.23,499.99,494.03,488.08,482.23,476.60,470.90,465.12,459.53,454.06,448.63,443.21,437.74,432.39,427.33,422.19,417.05,411.97,406.81,402.01,397.30,392.47,387.61,382.94,378.41,373.80,369.24,364.77,360.43,356.03,351.77
